DATE,TIME,BR,GAZR,MIX,SBRF
01/11/16,11:00,48.9700000,14111.0000000,201625.0000000,15075.0000000
01/11/16,12:00,49.1300000,14145.0000000,201625.0000000,14987.0000000
01/11/16,13:00,48.7200000,14096.0000000,201250.0000000,14917.0000000
01/11/16,14:00,48.8900000,14115.0000000,201425.0000000,14907.0000000
01/11/16,15:00,48.7800000,14150.0000000,201225.0000000,14867.0000000
01/11/16,16:00,49.0700000,14214.0000000,201200.0000000,14868.0000000
01/11/16,17:00,48.7900000,14294.0000000,201900.0000000,14854.0000000
01/11/16,18:00,48.9000000,14409.0000000,201725.0000000,14811.0000000
01/11/16,19:00,48.8100000,14369.0000000,201275.0000000,14786.0000000
01/11/16,20:00,48.2100000,14314.0000000,200375.0000000,14672.0000000
01/11/16,21:00,47.9800000,14298.0000000,200400.0000000,14674.0000000
01/11/16,22:00,48.2800000,14314.0000000,200500.0000000,14696.0000000
01/11/16,23:00,48.3900000,14367.0000000,200900.0000000,14747.0000000
02/11/16,00:00,48.0000000,14325.0000000,200550.0000000,14705.0000000
02/11/16,11:00,47.8700000,14302.0000000,200350.0000000,14740.0000000
02/11/16,12:00,47.6500000,14357.0000000,200000.0000000,14580.0000000
02/11/16,13:00,47.4800000,14392.0000000,200275.0000000,14615.0000000
02/11/16,14:00,47.4300000,14372.0000000,200175.0000000,14572.0000000
02/11/16,15:00,47.4800000,14510.0000000,200475.0000000,14523.0000000
02/11/16,16:00,47.5400000,14482.0000000,200400.0000000,14539.0000000
02/11/16,17:00,47.3600000,14478.0000000,200275.0000000,14516.0000000
02/11/16,18:00,46.6500000,14306.0000000,199325.0000000,14490.0000000
02/11/16,19:00,46.6300000,14263.0000000,198050.0000000,14423.0000000
02/11/16,20:00,46.6500000,14249.0000000,198000.0000000,14420.0000000
02/11/16,21:00,46.6700000,14250.0000000,197800.0000000,14419.0000000
02/11/16,22:00,47.0700000,14268.0000000,198000.0000000,14459.0000000
02/11/16,23:00,47.1500000,14270.0000000,197950.0000000,14459.0000000
03/11/16,00:00,47.1100000,14260.0000000,197850.0000000,14491.0000000
03/11/16,11:00,47.2600000,14179.0000000,197750.0000000,14475.0000000
03/11/16,12:00,47.2000000,14219.0000000,198000.0000000,14417.0000000
03/11/16,13:00,47.1600000,14233.0000000,198250.0000000,14429.0000000
03/11/16,14:00,47.2100000,14178.0000000,198200.0000000,14441.0000000
03/11/16,15:00,47.3600000,14186.0000000,198225.0000000,14498.0000000
03/11/16,16:00,47.3600000,14180.0000000,198250.0000000,14511.0000000
03/11/16,17:00,46.8500000,14162.0000000,197475.0000000,14355.0000000
03/11/16,18:00,46.7300000,14145.0000000,197725.0000000,14473.0000000
03/11/16,19:00,46.6500000,14145.0000000,197400.0000000,14409.0000000
03/11/16,20:00,46.2100000,14098.0000000,197100.0000000,14327.0000000
03/11/16,21:00,46.2700000,14113.0000000,197300.0000000,14348.0000000
03/11/16,22:00,46.4100000,14100.0000000,197000.0000000,14345.0000000
03/11/16,23:00,46.3700000,14082.0000000,196875.0000000,14337.0000000
04/11/16,00:00,46.2900000,14074.0000000,196675.0000000,14342.0000000
07/11/16,11:00,46.1000000,14208.0000000,197775.0000000,14486.0000000
07/11/16,12:00,46.1800000,14102.0000000,197500.0000000,14473.0000000
07/11/16,13:00,46.1300000,14093.0000000,198075.0000000,14620.0000000
07/11/16,14:00,46.1700000,14088.0000000,198025.0000000,14603.0000000
07/11/16,15:00,46.2000000,14100.0000000,198025.0000000,14612.0000000
07/11/16,16:00,46.0700000,14067.0000000,197675.0000000,14587.0000000
07/11/16,17:00,46.0600000,14106.0000000,197550.0000000,14572.0000000
07/11/16,18:00,45.8700000,14068.0000000,197300.0000000,14537.0000000
07/11/16,19:00,45.5400000,14032.0000000,197400.0000000,14525.0000000
07/11/16,20:00,45.6600000,14061.0000000,197875.0000000,14573.0000000
07/11/16,21:00,45.7200000,14078.0000000,198075.0000000,14584.0000000
07/11/16,22:00,45.9200000,14095.0000000,198600.0000000,14623.0000000
07/11/16,23:00,46.1600000,14094.0000000,198375.0000000,14608.0000000
08/11/16,00:00,46.2800000,14098.0000000,198650.0000000,14580.0000000
08/11/16,11:00,46.2200000,14108.0000000,198100.0000000,14546.0000000
08/11/16,12:00,46.6000000,14230.0000000,198850.0000000,14707.0000000
08/11/16,13:00,46.5500000,14197.0000000,198725.0000000,14690.0000000
08/11/16,14:00,46.3700000,14183.0000000,198700.0000000,14685.0000000
08/11/16,15:00,46.2500000,14203.0000000,198775.0000000,14694.0000000
08/11/16,16:00,45.9200000,14155.0000000,198525.0000000,14683.0000000
08/11/16,17:00,46.0500000,14145.0000000,198450.0000000,14737.0000000
08/11/16,18:00,45.7300000,14105.0000000,198150.0000000,14700.0000000
08/11/16,19:00,46.0500000,14090.0000000,198150.0000000,14753.0000000
08/11/16,20:00,46.1400000,14144.0000000,199025.0000000,14809.0000000
08/11/16,21:00,46.3800000,14179.0000000,199625.0000000,14826.0000000
08/11/16,22:00,46.2900000,14160.0000000,199450.0000000,14809.0000000
08/11/16,23:00,45.8500000,14144.0000000,199175.0000000,14772.0000000
09/11/16,00:00,45.8900000,14155.0000000,199350.0000000,14814.0000000
09/11/16,11:00,45.7300000,14080.0000000,197575.0000000,14658.0000000
09/11/16,12:00,45.5200000,14298.0000000,200375.0000000,14945.0000000
09/11/16,13:00,46.0000000,14472.0000000,201600.0000000,15103.0000000
09/11/16,14:00,46.3600000,14499.0000000,201200.0000000,15107.0000000
09/11/16,15:00,46.0900000,14487.0000000,200625.0000000,15020.0000000
09/11/16,16:00,46.1500000,14515.0000000,201100.0000000,15137.0000000
09/11/16,17:00,46.1100000,14621.0000000,201525.0000000,15152.0000000
09/11/16,18:00,45.9800000,14690.0000000,202750.0000000,15236.0000000
09/11/16,19:00,45.7100000,14700.0000000,202650.0000000,15239.0000000
09/11/16,20:00,46.8000000,14793.0000000,204025.0000000,15323.0000000
09/11/16,21:00,46.6200000,14795.0000000,204275.0000000,15325.0000000
09/11/16,22:00,46.3300000,14788.0000000,204200.0000000,15331.0000000
09/11/16,23:00,46.3400000,14793.0000000,204125.0000000,15330.0000000
10/11/16,00:00,46.6500000,14795.0000000,203975.0000000,15314.0000000
10/11/16,11:00,46.8600000,14782.0000000,203300.0000000,15420.0000000
10/11/16,12:00,46.7000000,15143.0000000,206200.0000000,15525.0000000
10/11/16,13:00,46.4700000,15167.0000000,206425.0000000,15535.0000000
10/11/16,14:00,46.7000000,15090.0000000,206600.0000000,15522.0000000
10/11/16,15:00,46.6000000,15100.0000000,207500.0000000,15579.0000000
10/11/16,16:00,46.2400000,15162.0000000,207275.0000000,15522.0000000
10/11/16,17:00,46.1900000,15162.0000000,207400.0000000,15566.0000000
10/11/16,18:00,45.9200000,15156.0000000,208500.0000000,15662.0000000
10/11/16,19:00,46.0500000,14970.0000000,206900.0000000,15525.0000000
10/11/16,20:00,45.7700000,14936.0000000,206700.0000000,15466.0000000
10/11/16,21:00,45.9900000,14970.0000000,207025.0000000,15490.0000000
10/11/16,22:00,45.9700000,14969.0000000,207225.0000000,15486.0000000
10/11/16,23:00,45.7900000,14956.0000000,207000.0000000,15456.0000000
11/11/16,00:00,45.7100000,14922.0000000,206675.0000000,15423.0000000
11/11/16,11:00,45.7900000,14803.0000000,205325.0000000,15318.0000000
11/11/16,12:00,45.6300000,14886.0000000,206300.0000000,15437.0000000
11/11/16,13:00,45.7500000,14924.0000000,206075.0000000,15412.0000000
11/11/16,14:00,45.3600000,14886.0000000,205925.0000000,15391.0000000
11/11/16,15:00,45.2600000,14919.0000000,205925.0000000,15384.0000000
11/11/16,16:00,45.3300000,15080.0000000,206200.0000000,15342.0000000
11/11/16,17:00,45.1200000,15020.0000000,205975.0000000,15317.0000000
11/11/16,18:00,44.8200000,15065.0000000,205925.0000000,15354.0000000
11/11/16,19:00,44.7900000,14940.0000000,205400.0000000,15339.0000000
11/11/16,20:00,44.4500000,14931.0000000,205225.0000000,15319.0000000
11/11/16,21:00,44.6100000,14963.0000000,205625.0000000,15336.0000000
11/11/16,22:00,44.7100000,14922.0000000,205575.0000000,15345.0000000
11/11/16,23:00,44.5800000,14936.0000000,205700.0000000,15340.0000000
12/11/16,00:00,44.6400000,14965.0000000,205900.0000000,15380.0000000
14/11/16,11:00,44.8800000,15022.0000000,205400.0000000,15326.0000000
