<DATE>;<TIME>;GAZR;SI;BR;RTS
01.11.2016;11:00:00;14.11;63.87;48.97;99.45
01.11.2016;12:00:00;14.15;63.84;49.13;99.51
01.11.2016;13:00:00;14.1;63.89;48.72;99.23
01.11.2016;14:00:00;14.12;63.88;48.89;99.32
01.11.2016;15:00:00;14.15;63.81;48.78;99.34
01.11.2016;16:00:00;14.21;63.73;49.07;99.44
01.11.2016;17:00:00;14.29;63.81;48.79;99.69
01.11.2016;18:00:00;14.41;63.81;48.9;99.59
01.11.2016;19:00:00;14.37;63.81;48.81;99.4
01.11.2016;20:00:00;14.31;64;48.21;98.63
01.11.2016;21:00:00;14.3;64.03;47.98;98.57
01.11.2016;22:00:00;14.31;63.94;48.28;98.77
01.11.2016;23:00:00;14.37;63.89;48.39;99.07
02.11.2016;0:00:00;14.33;64.04;48;98.66
02.11.2016;11:00:00;14.3;64.06;47.87;98.51
02.11.2016;12:00:00;14.36;64.1;47.65;98.26
02.11.2016;13:00:00;14.39;64.21;47.48;98.29
02.11.2016;14:00:00;14.37;64.21;47.43;98.2
02.11.2016;15:00:00;14.51;64.15;47.48;98.42
02.11.2016;16:00:00;14.48;64.12;47.54;98.45
02.11.2016;17:00:00;14.48;64.07;47.36;98.47
02.11.2016;18:00:00;14.31;64.42;46.65;97.46
02.11.2016;19:00:00;14.26;64.46;46.63;96.76
02.11.2016;20:00:00;14.25;64.43;46.65;96.79
02.11.2016;21:00:00;14.25;64.46;46.67;96.68
02.11.2016;22:00:00;14.27;64.28;47.07;97.02
02.11.2016;23:00:00;14.27;64.21;47.15;97.06
03.11.2016;0:00:00;14.26;64.19;47.11;97.08
03.11.2016;11:00:00;14.18;64.12;47.26;97.11
03.11.2016;12:00:00;14.22;64.12;47.2;97.25
03.11.2016;13:00:00;14.23;64.32;47.16;97.09
03.11.2016;14:00:00;14.18;64.26;47.21;97.12
03.11.2016;15:00:00;14.19;64.23;47.36;97.18
03.11.2016;16:00:00;14.18;64.19;47.36;97.27
03.11.2016;17:00:00;14.16;64.41;46.85;96.56
03.11.2016;18:00:00;14.15;64.35;46.73;96.77
03.11.2016;19:00:00;14.15;64.3;46.65;96.69
03.11.2016;20:00:00;14.1;64.4;46.21;96.37
03.11.2016;21:00:00;14.11;64.35;46.27;96.53
03.11.2016;22:00:00;14.1;64.3;46.41;96.47
03.11.2016;23:00:00;14.08;64.28;46.37;96.39
04.11.2016;0:00:00;14.07;64.2;46.29;96.5
07.11.2016;11:00:00;14.21;64.53;46.1;96.52
07.11.2016;12:00:00;14.1;64.54;46.18;96.35
07.11.2016;13:00:00;14.09;64.38;46.13;96.84
07.11.2016;14:00:00;14.09;64.45;46.17;96.74
07.11.2016;15:00:00;14.1;64.48;46.2;96.71
07.11.2016;16:00:00;14.07;64.4;46.07;96.66
07.11.2016;17:00:00;14.11;64.28;46.06;96.77
07.11.2016;18:00:00;14.07;64.4;45.87;96.48
07.11.2016;19:00:00;14.03;64.38;45.54;96.61
07.11.2016;20:00:00;14.06;64.39;45.66;96.8
07.11.2016;21:00:00;14.08;64.35;45.72;96.95
07.11.2016;22:00:00;14.1;64.19;45.92;97.43
07.11.2016;23:00:00;14.09;64.15;46.16;97.39
08.11.2016;0:00:00;14.1;64.21;46.28;97.5
08.11.2016;11:00:00;14.11;64.31;46.22;97.03
08.11.2016;12:00:00;14.23;64.31;46.6;97.39
08.11.2016;13:00:00;14.2;64.31;46.55;97.31
08.11.2016;14:00:00;14.18;64.39;46.37;97.19
08.11.2016;15:00:00;14.2;64.39;46.25;97.23
08.11.2016;16:00:00;14.16;64.4;45.92;97.11
08.11.2016;17:00:00;14.15;64.33;46.05;97.17
08.11.2016;18:00:00;14.11;64.41;45.73;96.9
08.11.2016;19:00:00;14.09;64.37;46.05;96.93
08.11.2016;20:00:00;14.14;64.23;46.14;97.59
08.11.2016;21:00:00;14.18;64.22;46.38;97.91
08.11.2016;22:00:00;14.16;64.28;46.29;97.77
08.11.2016;23:00:00;14.14;64.33;45.85;97.49
09.11.2016;0:00:00;14.16;64.33;45.89;97.62
09.11.2016;11:00:00;14.08;64.36;45.73;96.65
09.11.2016;12:00:00;14.3;64.37;45.52;98.05
09.11.2016;13:00:00;14.47;64.38;46;98.68
09.11.2016;14:00:00;14.5;63.91;46.36;99.18
09.11.2016;15:00:00;14.49;63.93;46.09;98.87
09.11.2016;16:00:00;14.52;63.84;46.15;99.24
09.11.2016;17:00:00;14.62;64.1;46.11;99.07
09.11.2016;18:00:00;14.69;64.34;45.98;99.27
09.11.2016;19:00:00;14.7;64.6;45.71;98.86
09.11.2016;20:00:00;14.79;64.22;46.8;100.1
09.11.2016;21:00:00;14.8;64.36;46.62;100
09.11.2016;22:00:00;14.79;64.37;46.33;99.95
09.11.2016;23:00:00;14.79;64.43;46.34;99.79
10.11.2016;0:00:00;14.8;64.45;46.65;99.72
10.11.2016;11:00:00;14.78;63.84;46.86;100.31
10.11.2016;12:00:00;15.14;63.89;46.7;101.67
10.11.2016;13:00:00;15.17;63.96;46.47;101.69
10.11.2016;14:00:00;15.09;63.97;46.7;101.77
10.11.2016;15:00:00;15.1;64.18;46.6;101.86
10.11.2016;16:00:00;15.16;64.42;46.24;101.38
10.11.2016;17:00:00;15.16;64.38;46.19;101.49
10.11.2016;18:00:00;15.16;65.25;45.92;100.72
10.11.2016;19:00:00;14.97;65.32;46.05;99.78
10.11.2016;20:00:00;14.94;65.76;45.77;99.03
10.11.2016;21:00:00;14.97;65.66;45.99;99.31
10.11.2016;22:00:00;14.97;65.87;45.97;99.12
10.11.2016;23:00:00;14.96;65.86;45.79;99.04
11.11.2016;0:00:00;14.92;66.4;45.71;98.61
11.11.2016;11:00:00;14.8;65.73;45.79;98.42
11.11.2016;12:00:00;14.89;66.15;45.63;98.26
11.11.2016;13:00:00;14.92;66.03;45.75;98.32
11.11.2016;14:00:00;14.89;66.3;45.36;97.86
11.11.2016;15:00:00;14.92;66.26;45.26;97.92
11.11.2016;16:00:00;15.08;66.1;45.33;98.31
