Дата,Период,Факт,Прогноз,Пред,Ед. изм.
14.12.2011,,3.824,1.656,5.147,млн барр.
21.12.2011,,-0.412,1.240,3.824,млн барр.
29.12.2011,,-0.692,-0.114,-0.412,млн барр.
05.01.2012,,2.479,1.339,-0.692,млн барр.
11.01.2012,,3.610,2.269,2.479,млн барр.
19.01.2012,,3.717,2.617,3.610,млн барр.
25.01.2012,,-0.390,1.888,3.717,млн барр.
01.02.2012,,3.017,1.006,-0.390,млн барр.
08.02.2012,,1.629,0.721,3.017,млн барр.
15.02.2012,,0.400,0.761,1.629,млн барр.
23.02.2012,,-0.649,-0.117,0.400,млн барр.
29.02.2012,,-1.600,0.333,-0.649,млн барр.
07.03.2012,,-0.396,-1.394,-1.600,млн барр.
14.03.2012,,-1.410,-0.978,-0.396,млн барр.
21.03.2012,,-1.214,-1.881,-1.410,млн барр.
28.03.2012,,-3.537,-1.288,-1.214,млн барр.
04.04.2012,,-1.457,-1.400,-3.537,млн барр.
11.04.2012,,-4.277,-1.344,-1.457,млн барр.
18.04.2012,,-3.671,-0.931,-4.277,млн барр.
25.04.2012,,-2.235,-0.925,-3.671,млн барр.
02.05.2012,,-2.009,-0.772,-2.235,млн барр.
09.05.2012,,-2.613,-0.046,-2.009,млн барр.
16.05.2012,,-2.797,-0.491,-2.613,млн барр.
23.05.2012,,-3.299,-0.471,-2.797,млн барр.
31.05.2012,,-0.833,-0.833,-3.299,млн барр.
06.06.2012,,3.346,0.708,-0.833,млн барр.
13.06.2012,,-1.724,1.133,3.346,млн барр.
20.06.2012,,0.943,0.810,-1.724,млн барр.
27.06.2012,,2.078,0.770,0.943,млн барр.
05.07.2012,,0.151,0.593,2.078,млн барр.
11.07.2012,,2.752,0.294,0.151,млн барр.
18.07.2012,,-1.815,1.163,2.752,млн барр.
25.07.2012,,4.134,-0.630,-1.815,млн барр.
01.08.2012,,-2.174,0.973,4.134,млн барр.
08.08.2012,,-1.801,-1.067,-2.174,млн барр.
15.08.2012,,-2.371,-1.485,-1.801,млн барр.
22.08.2012,,-0.962,-0.725,-2.371,млн барр.
29.08.2012,,-1.509,-1.4,-0.962,млн барр.
06.09.2012,,-2.334,-3.400,-1.509,млн барр.
12.09.2012,,-1.177,-1.600,-2.334,млн барр.
19.09.2012,,-1.407,1.229,-1.177,млн барр.
26.09.2012,,-0.481,0.150,-1.407,млн барр.
03.10.2012,,0.114,-0.635,-0.481,млн барр.
11.10.2012,,-0.534,0.025,0.114,млн барр.
17.10.2012,,1.720,0.488,-0.534,млн барр.
24.10.2012,,1.439,0.673,1.720,млн барр.
01.11.2012,,0.935,0.161,1.439,млн барр.
07.11.2012,,2.875,-1.010,0.935,млн барр.
15.11.2012,,-0.440,-0.843,2.875,млн барр.
21.11.2012,,-1.547,1.010,-0.440,млн барр.
28.11.2012,,3.865,0.867,-1.547,млн барр.
05.12.2012,,7.860,1.767,3.865,млн барр.
12.12.2012,,5.000,2.200,7.860,млн барр.
19.12.2012,,2.207,1.844,5.000,млн барр.
28.12.2012,,3.782,0.543,2.207,млн барр.
04.01.2013,,2.569,1.956,3.782,млн барр.
09.01.2013,,7.41,2.325,2.569,млн барр.
16.01.2013,,1.910,2.929,7.412,млн барр.
24.01.2013,,-1.738,1.450,1.910,млн барр.
30.01.2013,,-0.956,-0.108,-1.738,млн барр.
06.02.2013,,1.738,-0.043,-0.956,млн барр.
13.02.2013,,-0.803,0.267,1.738,млн барр.
21.02.2013,,-2.884,-0.667,-0.803,млн барр.
27.02.2013,,-1.857,-0.900,-2.884,млн барр.
06.03.2013,,-0.616,-0.700,-1.857,млн барр.
13.03.2013,,-3.571,-1.163,-0.616,млн барр.
20.03.2013,,-1.476,-2.125,-3.571,млн барр.
27.03.2013,,-1.596,-1.020,-1.476,млн барр.
03.04.2013,,-0.572,-0.825,-1.596,млн барр.
10.04.2013,,1.699,-1.089,-0.572,млн барр.
17.04.2013,,-0.633,-0.800,1.699,млн барр.
24.04.2013,,-3.928,-0.175,-0.633,млн барр.
01.05.2013,,-1.818,-0.900,-3.928,млн барр.
08.05.2013,,-0.910,-0.395,-1.818,млн барр.
15.05.2013,,2.588,-0.780,-0.910,млн барр.
22.05.2013,,3.015,0.022,2.588,млн барр.
30.05.2013,,-1.514,0.061,3.015,млн барр.
05.06.2013,,-0.366,0.522,-1.514,млн барр.
12.06.2013,,2.748,0.644,-0.366,млн барр.
19.06.2013,,0.183,0.683,2.748,млн барр.
