Δΰςΰ,Οεπθξδ,Τΰκς,Οπξγνξη,Οπεδ,Εδ. θημ.,,values
05.02.1997,Δεκ ' 96,-1.7 ,,,%,-1.7 ,-1.7
05.03.1997,ίνβ ' 97,2.2 ,,-1.7,%,2.2 ,2.2
04.04.1997,Τεβ ' 97,0.8 ,,2.2,%,0.8 ,0.8
06.05.1997,Μΰπ ' 97,-1.7 ,,0.8,%,-1.7 ,-1.7
06.06.1997,ΐοπ ' 97,1.4 ,,-1.7,%,1.4 ,1.4
07.07.1997,Μΰι ' 97,-0.5 ,,1.4,%,-0.5 ,-0.5
05.08.1997,Θών ' 97,1.7 ,,-0.5,%,1.7 ,1.7
05.09.1997,Θώλ ' 97,0.5 ,,1.7,%,0.5 ,0.5
06.10.1997,ΐβγ ' 97,1.2 ,,0.5,%,1.2 ,1.2
05.11.1997,Ρεν ' 97,0.4 ,,"0,4",%,0.4 ,0.4
05.12.1997,Ξκς ' 97,0.1 ,,0.4,%,0.1 ,0.1
06.01.1998,Νξÿ ' 97,2.5 ,,0.1,%,2.5 ,2.5
06.02.1998,Δεκ ' 97,-2.5 ,,2.5,%,-2.5 ,-2.5
26.03.1998,ίνβ ' 98,0.6 ,,"-2,5",%,0.6 ,0.6
06.04.1998,Τεβ ' 98,-0.9 ,,0.6,%,-0.9 ,-0.9
05.05.1998,Μΰπ ' 98,0.2 ,,-0.9,%,0.2 ,0.2
05.06.1998,ΐοπ ' 98,1.2 ,,0.2,%,1.2 ,1.2
06.07.1998,Μΰι ' 98,-2.2 ,,1.2,%,-2.2 ,-2.2
04.08.1998,Θών ' 98,0.3 ,,-2.2,%,0.3 ,0.3
04.09.1998,Θών ' 98,1.1 ,,0.3,%,1.1 ,1.1
06.10.1998,ΐβγ ' 98,1.2 ,,1.1,%,1.2 ,1.2
05.11.1998,Ρεν ' 98,0.4 ,,1.2,%,0.4 ,0.4
05.01.1999,Νξÿ ' 98,0.4 ,,0.4,%,0.4 ,0.4
05.02.1999,Δεκ ' 98,2.3 ,,0.4,%,2.3 ,2.3
05.03.1999,ίνβ ' 99,1.7 ,,2.3,%,1.7 ,1.7
06.04.1999,Τεβ ' 99,-1.8 ,,1.7,%,-1.8 ,-1.8
05.05.1999,Μΰπ ' 99,2.0 ,,-1.8,%,2.0 ,2
04.06.1999,ΐοπ ' 99,-1.4 ,,2,%,-1.4 ,-1.4
06.07.1999,Μΰι ' 99,1.1 ,,-1.4,%,1.1 ,1.1
05.08.1999,Θών ' 99,0.7 ,,1.1,%,0.7 ,0.7
02.09.1999,Θώλ ' 99,2.5 ,1.4,0.7,%,2.5 ,2.5
06.10.1999,ΐβγ ' 99,1.3 ,1.3,2.5,%,1.3 ,1.3
03.11.1999,Ρεν ' 99,-0.9 ,-0.5,1.3,%,-0.9 ,-0.9
03.12.1999,Ξκς ' 99,-0.2 ,-0.4,-0.9,%,-0.2 ,-0.2
05.01.2000,Νξÿ ' 99,1.4 ,0.9,-0.2,%,1.4 ,1.4
03.02.2000,Δεκ ' 99,3.3 ,2.5,1.4,%,3.3 ,3.3
03.03.2000,ίνβ ' 00,-1.1 ,-0.5,3.3,%,-1.1 ,-1.1
03.05.2000,Μΰπ ' 00,2.2 ,1.8,-1.1,%,2.2 ,2.2
02.06.2000,ΐοπ ' 00,-4.3 ,-3,2.2,%,-4.3 ,-4.3
