DATE,TIME,BR,RTS,MIX,SBRF
01.11.2017,11:00,12792,112480,209100,19750
01.11.2017,12:00,12820,112510,209575,19859
01.11.2017,13:00,12792,112680,209675,19908
01.11.2017,14:00,12786,112780,209825,19894
01.11.2017,15:00,12799,112980,209950,19863
01.11.2017,16:00,12808,113060,210325,19916
01.11.2017,17:00,12808,112990,210100,19847
01.11.2017,18:00,12760,112460,209350,19636
01.11.2017,19:00,12790,112380,209275,19630
01.11.2017,20:00,12745,112420,209200,19624
01.11.2017,21:00,12694,112020,208825,19545
01.11.2017,22:00,12710,112020,209150,19580
01.11.2017,23:00,12714,112110,209025,19571
02.11.2017,0:00,12691,112100,208900,19513
02.11.2017,11:00,12699,112290,208625,19509
02.11.2017,12:00,12722,112200,208725,19643
02.11.2017,13:00,12728,112330,208850,19664
02.11.2017,14:00,12720,112080,208650,19687
02.11.2017,15:00,12704,111710,208200,19626
02.11.2017,16:00,12670,111620,208350,19606
02.11.2017,17:00,12667,111820,208575,19644
02.11.2017,18:00,12674,111870,208400,19577
02.11.2017,19:00,12684,111740,208525,19567
02.11.2017,20:00,12690,111870,208600,19603
02.11.2017,21:00,12690,111900,208550,19611
02.11.2017,22:00,12685,111870,208400,19591
02.11.2017,23:00,12700,112350,208925,19650
03.11.2017,0:00,12723,112420,208900,19659
03.11.2017,11:00,12749,112230,209850,19679
03.11.2017,12:00,12808,112890,210650,19775
03.11.2017,13:00,12778,112630,210575,19710
03.11.2017,14:00,12781,112030,210050,19553
03.11.2017,15:00,12775,112100,209800,19582
03.11.2017,16:00,12803,112120,210075,19640
03.11.2017,17:00,12795,111880,209975,19642
03.11.2017,18:00,12766,111030,209800,19628
03.11.2017,19:00,12758,111080,209825,19633
03.11.2017,20:00,12788,111300,210175,19697
03.11.2017,21:00,12794,111460,210450,19694
03.11.2017,22:00,12816,111760,210600,19730
03.11.2017,23:00,12811,111610,210425,19714
04.11.2017,0:00,12834,111540,210625,19711
07.11.2017,11:00,12883,113790,212650,19916
07.11.2017,12:00,13113,114020,213725,20162
07.11.2017,13:00,13101,113990,213775,20234
07.11.2017,14:00,13163,114140,214025,20258
07.11.2017,15:00,13288,114600,215850,20528
07.11.2017,16:00,13367,114920,216300,20768
07.11.2017,17:00,13310,114870,216025,20803
07.11.2017,18:00,13325,114430,215725,20703
07.11.2017,19:00,13340,114400,216175,20735
07.11.2017,20:00,13334,113910,216025,20742
07.11.2017,21:00,13345,114100,216275,20770
07.11.2017,22:00,13351,113930,216100,20757
07.11.2017,23:00,13370,114010,216150,20750
08.11.2017,0:00,13348,114020,216175,20725
08.11.2017,11:00,13451,115040,217325,20914
08.11.2017,12:00,13505,115320,218275,21173
08.11.2017,13:00,13497,115250,218250,21170
08.11.2017,14:00,13491,115310,218625,21250
08.11.2017,15:00,13437,114880,218350,21206
08.11.2017,16:00,13422,115020,218100,21145
08.11.2017,17:00,13446,115380,218300,21209
08.11.2017,18:00,13409,115070,217875,21128
08.11.2017,19:00,13387,115220,218000,21210
08.11.2017,20:00,13389,115250,217825,21240
08.11.2017,21:00,13411,115170,217950,21253
08.11.2017,22:00,13409,115390,218150,21244
08.11.2017,23:00,13406,115310,218025,21245
09.11.2017,0:00,13393,115220,217825,21215
09.11.2017,11:00,13319,114670,217100,21218
09.11.2017,12:00,13346,114780,217300,21240
09.11.2017,13:00,13350,114770,217375,21184
09.11.2017,14:00,13355,114760,217325,21226
09.11.2017,15:00,13372,115220,217450,21217
09.11.2017,16:00,13354,114790,217500,21284
09.11.2017,17:00,13365,114830,217675,21268
09.11.2017,18:00,13294,115370,218275,22097
09.11.2017,19:00,13257,115780,219025,22283
09.11.2017,20:00,13214,115450,218525,22373
09.11.2017,21:00,13100,115370,218650,22445
09.11.2017,22:00,13160,115430,218775,22440
09.11.2017,23:00,13172,115420,218575,22450
10.11.2017,0:00,13190,115570,218750,22421
10.11.2017,11:00,13260,115780,219275,22716
10.11.2017,12:00,13225,115540,218550,22612
10.11.2017,13:00,13198,115580,218400,22333
10.11.2017,14:00,13367,115540,218600,22224
10.11.2017,15:00,13384,115550,218625,22160
10.11.2017,16:00,13423,115780,218800,22220
10.11.2017,17:00,13399,115570,218575,22012
10.11.2017,18:00,13332,115500,217750,21921
10.11.2017,19:00,13368,115700,218175,21957
10.11.2017,20:00,13377,115540,218125,21996
10.11.2017,21:00,13356,115440,218000,21971
10.11.2017,22:00,13371,115410,218025,21974
10.11.2017,23:00,13382,115520,218175,22014
11.11.2017,0:00,13381,115580,218400,21984
11.11.2017,11:00,13423,116400,219600,22338
11.11.2017,12:00,13464,116020,219625,22201
11.11.2017,13:00,13425,115490,219075,22011
11.11.2017,14:00,13408,115190,218575,22058
11.11.2017,15:00,13412,115280,218350,22011
11.11.2017,16:00,13422,114730,218000,21933
11.11.2017,17:00,13443,114930,218075,21912
11.11.2017,18:00,13489,114830,217950,21860
11.11.2017,19:00,13480,115090,218025,21890
11.11.2017,20:00,13474,114900,217925,21885
11.11.2017,21:00,13480,114980,217950,21903
11.11.2017,22:00,13473,114970,217900,21894
11.11.2017,23:00,13476,115010,217850,21901
12.11.2017,0:00,13461,115000,217850,21876
14.11.2017,11:00,13510,114850,217975,21963
14.11.2017,12:00,13526,114880,218900,22276
14.11.2017,13:00,13479,114760,218125,22193
14.11.2017,14:00,13491,114580,218125,22264
14.11.2017,15:00,13444,114290,217925,22208
14.11.2017,16:00,13404,114300,218125,22238
14.11.2017,17:00,13413,114350,217950,22252
14.11.2017,18:00,13417,113860,217950,22241
14.11.2017,19:00,13408,113670,217700,22394
14.11.2017,20:00,13417,113660,217925,22436
14.11.2017,21:00,13417,113610,218050,22398
14.11.2017,22:00,13407,113570,217800,22395
14.11.2017,23:00,13422,113590,218050,22428
15.11.2017,0:00,13421,113310,217650,22431
15.11.2017,11:00,13301,112480,216100,22382
15.11.2017,12:00,13328,112500,216275,22527
15.11.2017,13:00,13309,112040,215500,22475
15.11.2017,14:00,13296,111940,215350,22560
15.11.2017,15:00,13309,111960,215375,22584
15.11.2017,16:00,13301,111910,215025,22523
15.11.2017,17:00,13310,112260,215475,22794
15.11.2017,18:00,13278,111810,214475,22771
15.11.2017,19:00,13267,111840,214575,22809
15.11.2017,20:00,13286,112050,214850,22884
15.11.2017,21:00,13285,111970,214675,22890
15.11.2017,22:00,13275,111650,214100,22849
15.11.2017,23:00,13284,111570,214300,22878
16.11.2017,0:00,13288,111560,214350,22870
16.11.2017,11:00,13357,112410,215125,22950
16.11.2017,12:00,13273,112260,214400,22622
16.11.2017,13:00,13197,111280,212450,22135
16.11.2017,14:00,13188,111350,212875,22283
16.11.2017,15:00,13180,111060,212425,22264
16.11.2017,16:00,12982,110890,212050,22310
16.11.2017,17:00,13007,111500,212700,22312
16.11.2017,18:00,13128,112250,214100,22704
16.11.2017,19:00,13075,112200,213575,22884
16.11.2017,20:00,13127,112190,213400,22855
16.11.2017,21:00,13115,112340,213575,22880
16.11.2017,22:00,13128,112500,213950,22930
16.11.2017,23:00,13137,112490,214050,22946
17.11.2017,0:00,13117,112480,214075,22989
17.11.2017,11:00,13087,112460,213875,22792
17.11.2017,12:00,13148,112490,214050,22846
17.11.2017,13:00,13130,112690,214175,22775
17.11.2017,14:00,13130,112700,214100,22728
17.11.2017,15:00,13136,113160,214350,22726
17.11.2017,16:00,13113,113080,214050,22690
17.11.2017,17:00,13123,113010,214025,22728
17.11.2017,18:00,13151,113220,213875,22754
17.11.2017,19:00,13072,112910,213425,22710
17.11.2017,20:00,13100,113350,213775,22690
17.11.2017,21:00,13111,113690,214100,22697
17.11.2017,22:00,13087,113720,214000,22709
17.11.2017,23:00,13040,113710,214075,22700
18.11.2017,0:00,13042,113650,214000,22693
18.11.2017,11:00,13094,113160,214025,22653
18.11.2017,12:00,13021,113150,213500,22615
18.11.2017,13:00,13057,113210,213725,22561
18.11.2017,14:00,13004,112770,213300,22577
18.11.2017,15:00,13094,112780,213300,22648
18.11.2017,16:00,13092,112400,213275,22597
18.11.2017,17:00,13058,112390,213025,22598
18.11.2017,18:00,13066,112700,213425,22622
18.11.2017,19:00,13095,112690,213725,22621
18.11.2017,20:00,13134,113060,214075,22682
18.11.2017,21:00,13124,113100,214050,22670
18.11.2017,22:00,13122,113060,213900,22670
18.11.2017,23:00,13128,113050,213950,22679
19.11.2017,0:00,13130,113030,213850,22649
21.11.2017,11:00,13250,113270,214925,22772
21.11.2017,12:00,13261,113450,214925,22905
21.11.2017,13:00,13293,113680,215175,23067
21.11.2017,14:00,13344,113920,215875,23258
21.11.2017,15:00,13385,113780,215675,23279
21.11.2017,16:00,13380,113830,215725,23363
21.11.2017,17:00,13281,113610,215025,23310
21.11.2017,18:00,13251,114300,215550,23318
21.11.2017,19:00,13303,114410,215775,23230
21.11.2017,20:00,13313,114410,215725,23282
21.11.2017,21:00,13316,114300,215600,23286
21.11.2017,22:00,13318,114350,215625,23269
21.11.2017,23:00,13325,114330,215675,23287
22.11.2017,0:00,13355,114290,215675,23299
22.11.2017,11:00,13386,115070,216500,23366
22.11.2017,12:00,13437,115010,215900,23200
22.11.2017,13:00,13420,114820,215625,23059
22.11.2017,14:00,13427,115100,215900,23063
22.11.2017,15:00,13432,115180,215850,23076
22.11.2017,16:00,13378,115340,215925,23087
22.11.2017,17:00,13383,115380,216150,23105
22.11.2017,18:00,13366,115570,215975,23144
22.11.2017,19:00,13354,115370,215850,23149
22.11.2017,20:00,13343,115570,215875,23136
22.11.2017,21:00,13343,115500,215700,23110
22.11.2017,22:00,13349,115590,215850,23162
22.11.2017,23:00,13330,115870,215900,23168
23.11.2017,0:00,13345,115940,216075,23158
23.11.2017,11:00,13263,115410,214950,22886
23.11.2017,12:00,13360,116040,215850,22918
23.11.2017,13:00,13319,115580,215125,22879
23.11.2017,14:00,13325,115730,215225,22834
23.11.2017,15:00,13321,115570,215175,22724
23.11.2017,16:00,13311,115480,215050,22698
23.11.2017,17:00,13296,115490,215075,22712
23.11.2017,18:00,13252,115390,214875,22673
23.11.2017,19:00,13239,115750,215375,22688
23.11.2017,20:00,13260,115720,215350,22715
23.11.2017,21:00,13268,115870,215675,22728
23.11.2017,22:00,13263,115820,215700,22727
23.11.2017,23:00,13266,115740,215700,22721
24.11.2017,0:00,13272,115800,215650,22678
24.11.2017,11:00,13285,115490,215350,22450
24.11.2017,12:00,13416,116400,216500,22860
24.11.2017,13:00,13432,116320,216425,22788
24.11.2017,14:00,13416,116100,216100,22708
24.11.2017,15:00,13489,116450,216525,22870
24.11.2017,16:00,13484,116320,216500,22847
24.11.2017,17:00,13431,116190,216350,22900
24.11.2017,18:00,13420,116250,216300,22912
24.11.2017,19:00,13414,115770,215475,22934
24.11.2017,20:00,13405,116120,215500,22959
24.11.2017,21:00,13413,116010,215450,22949
24.11.2017,22:00,13426,116010,215500,22945
24.11.2017,23:00,13437,116010,215550,22960
25.11.2017,0:00,13442,116170,215900,22940
25.11.2017,11:00,13598,116730,216425,22871
25.11.2017,12:00,13511,116280,215375,22723
25.11.2017,13:00,13498,116260,215425,22801
25.11.2017,14:00,13477,116360,215275,22756
25.11.2017,15:00,13484,116250,215175,22732
25.11.2017,16:00,13362,115510,214125,22650
25.11.2017,17:00,13416,115860,214500,22683
25.11.2017,18:00,13432,115580,214250,22703
25.11.2017,19:00,13420,115610,214425,22780
25.11.2017,20:00,13409,115380,214475,22755
25.11.2017,21:00,13408,115210,214500,22754
25.11.2017,22:00,13419,115350,214625,22785
25.11.2017,23:00,13429,115320,214650,22798
26.11.2017,0:00,13419,115160,214550,22765
28.11.2017,11:00,13448,115170,214025,22612
28.11.2017,12:00,13415,114860,213300,22639
28.11.2017,13:00,13390,114620,212975,22620
28.11.2017,14:00,13356,114600,212825,22636
28.11.2017,15:00,13429,114640,212875,22653
28.11.2017,16:00,13440,114970,213325,22737
28.11.2017,17:00,13490,115560,214525,23092
28.11.2017,18:00,13548,115410,214600,23060
28.11.2017,19:00,13564,115430,214550,23125
28.11.2017,20:00,13576,115540,214800,23200
28.11.2017,21:00,13565,115670,214925,23194
